session_id,timestamp,event_type,floor,value,item_type,curse_type,enemy_type,combo_count,hp,max_hp,gold_spent,duration_sec
e3e56f15,1776437831.48,floor_curse_types,1,1,,none,,,,,,
e3e56f15,1776437831.48,player_hp_over_time,1,,,,,,100,100,,
e3e56f15,1776437833.5,player_hp_over_time,1,,,,,,94,100,,
e3e56f15,1776437835.51,player_hp_over_time,1,,,,,,88,100,,
e3e56f15,1776437837.53,player_hp_over_time,1,,,,,,79,100,,
e3e56f15,1776437839.54,player_hp_over_time,1,,,,,,73,100,,
e3e56f15,1776437841.55,player_hp_over_time,1,,,,,,64,100,,
e3e56f15,1776437843.56,player_hp_over_time,1,,,,,,58,100,,
e3e56f15,1776437845.57,player_hp_over_time,1,,,,,,49,100,,
e3e56f15,1776437847.57,player_hp_over_time,1,,,,,,43,100,,
e3e56f15,1776437849.57,player_hp_over_time,1,,,,,,34,100,,
e3e56f15,1776437851.57,player_hp_over_time,1,,,,,,28,100,,
e3e56f15,1776437853.59,player_hp_over_time,1,,,,,,22,100,,
e3e56f15,1776437855.61,player_hp_over_time,1,,,,,,13,100,,
e3e56f15,1776437857.61,player_hp_over_time,1,,,,,,7,100,,
e3e56f15,1776437859.28,session_duration,,27.8,,,,,,,,27.8
9bf4d20e,1776475182.83,floor_curse_types,1,1,,none,,,,,,
9bf4d20e,1776475182.83,player_hp_over_time,1,,,,,,100,100,,
9bf4d20e,1776475184.83,player_hp_over_time,1,,,,,,94,100,,
9bf4d20e,1776475186.27,enemies_defeated,1,1,,,goblin,,,,,
9bf4d20e,1776475186.27,combo_count,1,1,,,,1,,,,
9bf4d20e,1776475186.27,items_collected,1,1,weapon,,,,,,,
9bf4d20e,1776475186.84,player_hp_over_time,1,,,,,,88,100,,
9bf4d20e,1776475187.19,enemies_defeated,1,1,,,goblin,,,,,
9bf4d20e,1776475187.19,combo_count,1,2,,,,2,,,,
9bf4d20e,1776475187.34,items_collected,1,1,potion,,,,,,,
9bf4d20e,1776475187.99,items_collected,1,1,buff,,,,,,,
9bf4d20e,1776475188.84,player_hp_over_time,1,,,,,,100,100,,
9bf4d20e,1776475189.2,enemies_defeated,1,1,,,slime,,,,,
9bf4d20e,1776475189.2,combo_count,1,3,,,,3,,,,
9bf4d20e,1776475190.85,player_hp_over_time,1,,,,,,99,100,,
9bf4d20e,1776475192.85,player_hp_over_time,1,,,,,,99,100,,
9bf4d20e,1776475194.86,player_hp_over_time,1,,,,,,99,100,,
9bf4d20e,1776475196.87,player_hp_over_time,1,,,,,,99,100,,
9bf4d20e,1776475198.89,player_hp_over_time,1,,,,,,99,100,,
9bf4d20e,1776475200.9,player_hp_over_time,1,,,,,,99,100,,
